mode,n_valid_papers,comp,suff,rank,mae,rmse,stability,runtime_wall,runtime_cpu,runtime_repeat
cluster_smartshap,50,0.0292020237445831,-0.0094541561603546,0.9427142857142856,0.367817531561192,0.44178773216049,1.0,0.0668915919994469,0.5240625,0.0540298226720187
cluster_smartshap_attention,50,0.0288523006439209,-0.0082341754436492,0.945047619047619,0.372317773196997,0.4457977954007996,1.0,0.0599360219971276,0.4753125,0.0534327173337806
adaptive_smartshap_loo,50,0.0298426830768585,-0.0088926887512207,0.9682857142857144,0.1915204957000647,0.2200001749101849,1.0,0.8357106160058174,6.6415625,0.8339636186638382
loo_shap,50,0.0300227093696594,-0.0078799438476562,0.931952380952381,0.2046941748021551,0.2325923784964621,1.0,0.8335887939983513,6.6459375,0.8223772433330305
cluster_cross_smartshap,50,0.0264732551574707,0.0010296750068664,0.6059523809523809,0.4170474778234394,0.490102447885076,1.0,3.363983559999615,26.6578125,3.339947957999538
smartshap,50,0.030037091970443727,-0.0075770139694213865,0.9247619047619047,0.35190431056204025,0.43244260856138644,0.9995555555555555,0.8261211400001776,6.5828125,0.8268288439985674
