mode,n_valid_papers,comp,suff,rank,mae,rmse,stability,runtime_wall,runtime_cpu,runtime_repeat
cluster_smartshap,489,0.035883449,-0.010550774,0.929921117,0.360406992,0.434364154,1,0.065076206,0.511247444,0.057073686
cluster_smartshap_attention,489,0.035800075,-0.010293672,0.931236768,0.361226409,0.435064559,1,0.059522133,0.474341769,0.054125258
adaptive_smartshap_loo,489,0.036423481,-0.009622085,0.968254663,0.210004117,0.236673185,1,0.689555419,5.495973926,0.672509073
loo_shap,489,0.036533272,-0.009152353,0.934542169,0.226011252,0.249990603,1,0.682776492,5.434144939,4.146783345
cluster_cross_smartshap,489,0.033427839,-0.002111886,0.600136695,0.417717167,0.488915535,1,2.651137302,21.07959484,2.639174529
smartshap,489,0.036570891,-0.008772622,0.924443546,0.349606095,0.428405238,0.999909112,0.661757571,5.268596626,0.655526507
